date	bin	turnover	price
20121228	1	5137187	132.6409
20121228	2	5952532	132.5185
20121228	3	7166682	132.3489
20121228	4	4548464	132.5185
20121228	5	8297762	132.8670
20121228	6	8680173	132.8576
20121228	7	4285683	132.7634
20121228	8	3148610	132.6692
20121228	9	2761214	132.7257
20121228	10	1849520	132.7493
20121228	11	2882498	132.8670
20121228	12	2269608	132.8764
20121228	13	1601405	132.7917
20121228	14	1264754	132.7352
20121228	15	1809688	132.7917
20121228	16	1104409	132.7541
20121228	17	1527122	132.8293
20121228	18	2553620	132.6409
20121228	19	2115685	132.5468
20121228	20	2009043	132.5186
20121228	21	2458923	132.5750
20121228	22	1865370	132.4902
20121228	23	2861623	132.4573
20121228	24	5284794	132.5656
20121228	25	13616607	132.1605
20121228	26	26433386	131.7555
20121231	1	11161827	132.0569
20121231	2	10344856	132.2830
20121231	3	7564023	132.1605
20121231	4	7756575	132.2547
20121231	5	6030001	132.2736
20121231	6	6855636	132.1511
20121231	7	8462388	132.3772
20121231	8	4956690	132.1605
20121231	9	4698760	132.2453
20121231	10	3505386	132.2265
20121231	11	4296931	132.2915
20121231	12	1943600	132.3018
20121231	13	7257858	132.7917
20121231	14	12026407	132.7917
20121231	15	7914674	133.0177
20121231	16	6454794	132.9047
20121231	17	6138005	132.9603
20121231	18	17229580	132.7540
20121231	19	3395488	132.8670
20121231	20	3653187	133.1590
20121231	21	4077086	133.2815
20121231	22	9622352	133.8184
20121231	23	9664932	133.5358
20121231	24	8144299	133.3757
20121231	25	8247608	133.6395
20121231	26	36970404	134.2329
20130102	1	20619280	136.5690
20130102	2	14175897	137.0495
20130102	3	9209434	136.9270
20130102	4	6364722	136.8609
20130102	5	6566096	136.7009
20130102	6	6358891	136.6538
20130102	7	4747966	136.5314
20130102	8	4935408	136.5737
20130102	9	3802642	136.4843
20130102	10	3353043	136.3900
20130102	11	3765986	136.5408
20130102	12	3879324	136.5125
20130102	13	3195175	136.4466
20130102	14	2661804	136.4324
20130102	15	3203812	136.5125
20130102	16	2373741	136.5408
20130102	17	3321067	136.4541
20130102	18	2512205	136.5031
20130102	19	4664842	136.5973
20130102	20	3313811	136.6538
20130102	21	2854811	136.5361
20130102	22	2730484	136.6538
20130102	23	4839953	136.7763
20130102	24	7350876	136.8706
20130102	25	7854199	137.0777
20130102	26	29336170	137.6711
20130103	1	9259634	137.2190
20130103	2	7035896	137.3320
20130103	3	6731935	137.4545
20130103	4	4180683	137.4451
20130103	5	4238586	137.4451
20130103	6	2413236	137.4357
20130103	7	3917635	137.6005
20130103	8	3684833	137.6523
20130103	9	3715675	137.6806
20130103	10	2105191	137.6853
20130103	11	4035951	137.7842
20130103	12	1749043	137.7748
20130103	13	3169606	137.6994
20130103	14	1719963	137.7088
20130103	15	2440337	137.6570
20130103	16	2029621	137.7983
20130103	17	2692027	137.7936
20130103	18	1630574	137.8125
20130103	19	11846359	137.4828
20130103	20	6179619	137.3603
20130103	21	5574898	137.3320
20130103	22	4668250	137.3933
20130103	23	5178655	137.2755
20130103	24	7267295	137.1144
20130103	25	6767012	137.1436
20130103	26	17724542	137.2755
20130104	1	7269018	137.5110
20130104	2	4825593	137.7088
20130104	3	6357173	137.5770
20130104	4	4555189	137.6146
20130104	5	5859510	137.2849
20130104	6	3014849	137.3933
20130104	7	2437612	137.5110
20130104	8	2253133	137.5298
20130104	9	3648234	137.6664
20130104	10	3615943	137.6241
20130104	11	1301345	137.6994
20130104	12	1136481	137.7324
20130104	13	1677486	137.7088
20130104	14	1553264	137.6241
20130104	15	1350714	137.6429
20130104	16	1374707	137.7088
20130104	17	1207659	137.7371
20130104	18	2278175	137.7182
20130104	19	2177358	137.7182
20130104	20	2758264	137.7823
20130104	21	2249808	137.7559
20130104	22	1905895	137.8313
20130104	23	4195662	137.9349
20130104	24	5874416	138.0761
20130104	25	4852133	138.0969
20130104	26	18422248	137.9066
20130107	1	8100156	137.3132
20130107	2	5972639	137.2944
20130107	3	3617473	137.3509
20130107	4	2850475	137.4253
20130107	5	3356642	137.4733
20130107	6	2721904	137.3603
20130107	7	1815646	137.4262
20130107	8	1989151	137.3791
20130107	9	1481352	137.3415
20130107	10	4139822	137.1418
20130107	11	2200697	137.1249
20130107	12	2957459	137.0777
20130107	13	2032292	137.1154
20130107	14	2677153	137.1060
20130107	15	1933128	137.2190
20130107	16	1308565	137.2284
20130107	17	2306285	137.0542
20130107	18	1215666	137.1436
20130107	19	1728641	137.1813
20130107	20	2524373	137.3311
20130107	21	1932024	137.3415
20130107	22	2195462	137.4074
20130107	23	1853033	137.4357
20130107	24	3150142	137.5675
20130107	25	2756123	137.5110
20130107	26	11794491	137.5487
20130108	1	6923442	137.4074
20130108	2	5697746	137.0871
20130108	3	5289689	136.8413
20130108	4	6701921	136.9270
20130108	5	6395534	136.7810
20130108	6	2882901	136.7479
20130108	7	5122421	136.6255
20130108	8	3148631	136.6915
20130108	9	3861462	136.8292
20130108	10	2731296	136.8798
20130108	11	2117509	136.8893
20130108	12	2650565	136.8234
20130108	13	2419019	136.7659
20130108	14	2562949	136.7197
20130108	15	1566880	136.8092
20130108	16	2457289	136.8893
20130108	17	2461689	136.9081
20130108	18	2699258	136.9600
20130108	19	3219609	137.0003
20130108	20	2195494	136.9365
20130108	21	1952570	136.8234
20130108	22	823786	136.8799
20130108	23	2589920	137.0777
20130108	24	2668445	137.1436
20130108	25	4313330	136.9835
20130108	26	10239067	137.1154
20130109	1	6186217	137.3518
20130109	2	5695220	137.6993
20130109	3	4348141	137.7277
20130109	4	3915768	137.7701
20130109	5	3092606	137.6523
20130109	6	2922813	137.6335
20130109	7	2109318	137.6335
20130109	8	1854420	137.6617
20130109	9	1902190	137.6711
20130109	10	2783652	137.6052
20130109	11	1726617	137.6241
20130109	12	1751712	137.5770
20130109	13	3499561	137.3038
20130109	14	2517607	137.4451
20130109	15	3488227	137.3226
20130109	16	1975327	137.4545
20130109	17	1869160	137.4733
20130109	18	1713172	137.4451
20130109	19	1517797	137.4922
20130109	20	1633882	137.4724
20130109	21	1713628	137.3791
20130109	22	2811782	137.2849
20130109	23	2965025	137.3132
20130109	24	2501271	137.3768
20130109	25	2861974	137.3320
20130109	26	12056836	137.4545
20130110	1	9675824	138.0894
20130110	2	4654610	138.1610
20130110	3	4435735	138.1045
20130110	4	3677202	138.0103
20130110	5	7061183	137.8228
20130110	6	4537143	137.6711
20130110	7	4496383	137.5392
20130110	8	6337471	137.7041
20130110	9	2160417	137.7748
20130110	10	2010662	137.8125
20130110	11	2390169	137.8643
20130110	12	1936466	137.8784
20130110	13	1761098	137.8878
20130110	14	2186311	138.0856
